Schicht;Dichte
Bitte wählen…;0
PV Anlage (15kG/m²);150
PV Anlage (20kG/m²);200
Dachziegel;2000
Sandwich-Dachelement;300
Bitumenpappe;1200
Glas;2500
Traglattungen;23
Konterlattungen;23
Spanplatten;700
Dreischichtplatten;550
Holz: Douglasie;510
Holz: Eiche;770
Holz: Fichte;470
Holz: Lärche;600
Styrodur;1050
Weichfaserplatten;250
ISOVER ULTIMATE Glaswolle (60-220mm);30
ROCKWOLL Zwischensparren Klemmrock (120-220mm);42
ROCKWOLL Trittschalldämmung FLoorrock SE (15-40mm);95
Gipskartonplatte;900
Estrich;2000
