Klasse;C14;C16;C18;C20;C22;C24;C27;C30;C35;C40;C45;C50
fmk;14;16;18;20;22;24;27;30;35;40;45;50
ft0k;7.2;8.5;10.0;11.5;13.0;14.5;16.5;19.0;22.5;26.0;30.0;33.5
ft90k;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
fc0k;16;17;18;19;20;21;22;24;25;27;29;30
fc90k;2.0;2.2;2.2;2.3;2.4;2.5;2.5;2.7;2.7;2.8;2.9;3.0
fvk;3.0;3.2;3.4;3.6;3.8;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Em0mean;7.0;8.0;9.0;9.5;10.0;11.0;11.5;12.0;13.0;14.0;15.0;16.0
Em0k;4.7;5.4;6.0;6.4;6.7;7.4;7.7;8.0;8.7;9.4;10.1;10.7
Em90mean;0.23;0.27;0.30;0.32;0.33;0.37;0.38;0.40;0.43;0.47;0.50;0.53
Gmean;0.44;0.50;0.56;0.59;0.63;0.69;0.72;0.75;0.81;0.88;0.94;1.00
pK;290;310;320;330;340;350;360;380;390;400;410;430
pmean;350;370;380;400;410;420;430;460;470;480;490;520
