Schicht;Gewicht
Bitte wählen;0
PV Anlage (15 kg/m²);15
PV Anlage (20 kg/m²);20
PV Anlage (25 kg/m²);25
PV Anlage (30 kg/m²);30
PV Anlage (35 kg/m²);35
PV Anlage (40 kg/m²);40
PV Anlage (45 kg/m²);45
PV Anlage (50 kg/m²);50
PV Anlage (55 kg/m²);55
PV Anlage (60 kg/m²);60
PV Anlage (65 kg/m²);65
Braas Taunuspfanne (4,3 kg * 10,7);46,01
Braas Rubin 9V (4,0 kg * 10,2);40,8
Sandwichelemnt (40 mm);9,4
Sandwichelemnt (60 mm);9,4
Sandwichelemnt (80 mm);9,4
Sandwichelemnt (100 mm);9,4
Sandwichelemnt (120 mm);9,4
Sandwichelemnt (160 mm);9,4
Trapezblech (0,50 mm);4,8
Trapezblech (0,75 mm);7,02
Traglattung Fichte 30 cm (40/60 mm);3,76
Traglattung Fichte 30 cm (30/50 mm);2,35
Traglattung Fichte 30 cm (38/68 mm);4,05
Traglattung Fichte 30 cm (24/60 mm);2,26
Traglattung Fichte 30 cm (24/48 mm);1,8
Traglattung Fichte 30 cm (18/48 mm);1,35
Konterlattung Fichte 60cm (40/60 mm);1,88
Konterlattung Fichte 60cm (30/50 mm);1,18
Konterlattung Fichte 60cm (38/68 mm);2,02
Konterlattung Fichte 60cm (24/60 mm);1,13
Konterlattung Fichte 60cm (24/48 mm);0,9
Konterlattung Fichte 60cm (18/48 mm);0,68
GUTEX Ultratherm (50 mm);
GUTEX Ultratherm (60 mm);
GUTEX Ultratherm (80 mm);
GUTEX Ultratherm (100 mm);
GUTEX Ultratherm (120 mm);
GUTEX Ultratherm (140 mm);
GUTEX Ultratherm (160 mm);
Unterspannbahn/ Luftdichtungsbahn;
GUTEX Thermofibre;
GUTEX Thermoflex;
HWL-Platte (25 mm);
Putz (15 mm);

