Schicht;Gewicht
Bitte wählen;0
PV ANLAGEN;0
-- Dünnschichtmodule auf Glas (15 kg/m²);15
-- Standardpolykristalline Module auf Aluminium (15 kg/m²);15
-- BIPV-Module (integrierte PV) auf Glas (20 kg/m²);20
-- BIPV-Module (integrierte PV) auf Aluminium (25 kg/m²);25
-- Glas-Glas-Module (30 kg/m²);30
-- BIPV-Module (integrierte PV) mit Ziegel- oder Schieferdach (35 kg/m²);35
-- Aufständerung mit Hochleistungsmodulen (40 kg/m²);40
-- PV-Systeme mit bifacialen Modulen (45 kg/m²);45
-- PV-Systeme mit Monokristallin-Modulen (50 kg/m²);50
-- Aufständerung mit solaren Tracker (60 kg/m²);60
DACHZIEGEL;0
-- Braas Taunuspfanne (4,3 kg * 10,7);46,01
-- Braas Rubin 9V (4,0 kg * 10,2);40,8
SANDWICHELEMENTE;0
-- Sandwichelemnt (40 mm);9,4
-- Sandwichelemnt (60 mm);9,4
-- Sandwichelemnt (80 mm);9,4
-- Sandwichelemnt (100 mm);9,4
-- Sandwichelemnt (120 mm);9,4
-- Sandwichelemnt (160 mm);9,4
TRAPEZBLECHE;0
-- Trapezblech (0,50 mm);4,8
-- Trapezblech (0,75 mm);7,02
DACHLATTUNG;0
-- Traglattung Fichte 30 cm (40/60 mm);3,76
-- Traglattung Fichte 30 cm (30/50 mm);2,35
-- Traglattung Fichte 30 cm (38/68 mm);4,05
-- Traglattung Fichte 30 cm (24/60 mm);2,26
-- Traglattung Fichte 30 cm (24/48 mm);1,8
-- Traglattung Fichte 30 cm (18/48 mm);1,35
-- Konterlattung Fichte 60cm (40/60 mm);1,88
-- Konterlattung Fichte 60cm (30/50 mm);1,18
-- Konterlattung Fichte 60cm (38/68 mm);2,02
-- Konterlattung Fichte 60cm (24/60 mm);1,13
-- Konterlattung Fichte 60cm (24/48 mm);0,9
-- Konterlattung Fichte 60cm (18/48 mm);0,68
AUFSPARRENDÄMMUNG;0
-- GUTEX Ultratherm (50 mm);9
-- GUTEX Ultratherm (60 mm);10,8
-- GUTEX Ultratherm (80 mm);14,4
-- GUTEX Ultratherm (100 mm);18
-- GUTEX Ultratherm (120 mm);21,6
-- GUTEX Ultratherm (140 mm);25,2
-- GUTEX Ultratherm (160 mm);28,8
ZWISCHENSPARRENDÄMMUNG;0
-- ISOVER ULTIMATE Glaswolle (40 mm);1,2
-- ISOVER ULTIMATE Glaswolle (60 mm);1,8
-- ISOVER ULTIMATE Glaswolle (120 mm);3,6
-- ISOVER ULTIMATE Glaswolle (140 mm);4,2
-- ISOVER ULTIMATE Glaswolle (160 mm);4,8
-- ISOVER ULTIMATE Glaswolle (180 mm);5,4
-- ISOVER ULTIMATE Glaswolle (200 mm);6
-- ISOVER ULTIMATE Glaswolle (220 mm);6,6
-- ISOVER ULTIMATE Glaswolle (240 mm);7,2
-- ROCKWOLL Zwischensparren Klemmrock (120 mm);5,04
-- ROCKWOLL Zwischensparren Klemmrock (140 mm);5,88
-- ROCKWOLL Zwischensparren Klemmrock (160 mm);6,72
-- ROCKWOLL Zwischensparren Klemmrock (180 mm);7,56
-- ROCKWOLL Zwischensparren Klemmrock (200 mm);8,4
-- ROCKWOLL Zwischensparren Klemmrock (220 mm);9,24
BAHNEN;0
-- Unterspannbahn/ Luftdichtungsbahn;0,4
-- Bitumenpappe;1,3
HOLZPLATTEN;0
-- Spanplatte (8 mm);6
-- Spanplatte (10 mm);7,5
-- Spanplatte (12 mm);9
-- Spanplatte (15 mm);11,25
-- Spanplatte (16 mm);13,5
INNENAUSBAU;0
-- Gipskartonplatte (6 mm);5
-- Gipskartonplatte (9,5 mm);10
-- Gipskartonplatte (12,5 mm);13
-- Gipskartonplatte (15 mm);16
-- Gipskartonplatte (18 mm);19
-- Gipskartonplatte (20 mm);22
-- Gipskartonplatte (25 mm);26
-- fermacell Gipsfaserplatte (10 mm);11,5
-- fermacell Gipsfaserplatte (12,5 mm);14,4
-- fermacell Gipsfaserplatte (15 mm);17,25
-- fermacell Gipsfaserplatte (18 mm);20,7
-- fermacell Gipsfaserplatte (22 mm);25,3
-- fermacell Gipsfaserplatte (25 mm);28,8
-- fermacell Gipsfaserplatte (28 mm);32,2
-- fermacell Gipsfaserplatte (30 mm);34,5
INSTALLATIONSEBENE;0
-- Wandheizung (2 kg/m²);2
-- Lattung Fichte 60cm (40/60 mm);1,88
-- Lattung Fichte 60cm (30/50 mm);1,18
-- Lattung Fichte 60cm (38/68 mm);2,02
-- Lattung Fichte 60cm (24/60 mm);1,13
-- Lattung Fichte 60cm (24/48 mm);0,9
-- Lattung Fichte 60cm (18/48 mm);0,68
